Nivel,Genero,Modelo,Nombre del producto,Color,Silo,Categoria,Escala,Bultos,Unidades,Precio estimado,Extension
BT,BOYS,314192-117,AIR FORCE 1 BG,WHITE/WHITE-WHITE,LOW TOP,NIKE KIDS,GS9,4,24,36.95,886.8
BT,BOYS,314192-117,AIR FORCE 1 BG,WHITE/WHITE-WHITE,LOW TOP,NIKE KIDS,GS3,11,66,36.95,2438.7
GD,MEN,343880-031,BENASSI JDI,BLACK/LASER ORANGE-IRON GREY,LOW TOP,NIKE SPORTSWEAR,S1,10,60,17.95,1077
GD,MEN,343880-031,BENASSI JDI,BLACK/LASER ORANGE-IRON GREY,LOW TOP,NIKE SPORTSWEAR,S3,10,60,17.95,1077
GD,MEN,343880-090,BENASSI JDI,BLACK/WHITE,LOW TOP,NIKE SPORTSWEAR,S3,10,60,17.95,1077
GD,MEN,343880-090,BENASSI JDI,BLACK/WHITE,LOW TOP,NIKE SPORTSWEAR,S1,10,60,17.95,1077
BT,MEN,553558-039,AIR JORDAN 1 LOW,BLACK/BLACK-LT SMK GREY-WHITE,LOW TOP,JORDAN BRAND,M6,1,6,55.95,335.7
BT,MEN,553558-039,AIR JORDAN 1 LOW,BLACK/BLACK-LT SMK GREY-WHITE,LOW TOP,JORDAN BRAND,M5,1,6,55.95,335.7
BT,MEN,553558-039,AIR JORDAN 1 LOW,BLACK/BLACK-LT SMK GREY-WHITE,LOW TOP,JORDAN BRAND,M8,1,6,55.95,335.7
BT,MEN,553558-130,AIR JORDAN 1 LOW,WHITE/WHITE-WHITE,LOW TOP,JORDAN BRAND,M8,1,6,55.95,335.7
BT,MEN,553558-130,AIR JORDAN 1 LOW,WHITE/WHITE-WHITE,LOW TOP,JORDAN BRAND,M6,1,6,55.95,335.7
BT,MEN,553558-130,AIR JORDAN 1 LOW,WHITE/WHITE-WHITE,LOW TOP,JORDAN BRAND,M5,1,6,55.95,335.7
GD,GIRLS,AQ3542-001,NIKE STAR RUNNER 2 GS,BLACK/WHITE-BLACK-VOLT,LOW TOP,NIKE KIDS,GS3,14,84,27.95,2347.8
GD,GIRLS,AQ3542-001,NIKE STAR RUNNER 2 GS,BLACK/WHITE-BLACK-VOLT,LOW TOP,NIKE KIDS,GS9,7,42,27.95,1173.9
GD,GIRLS,AQ4224-004,TEAM HUSTLE D 9 GS,BLACK/MTLC GOLD-WHITE,THREE QUARTER HIGH,NIKE KIDS,GS9,1,6,30.95,185.7
GD,GIRLS,AQ4224-004,TEAM HUSTLE D 9 GS,BLACK/MTLC GOLD-WHITE,THREE QUARTER HIGH,NIKE KIDS,GS3,3,18,30.95,557.1
GD,GIRLS,AQ4224-403,TEAM HUSTLE D 9 GS,MID NVY/UNV RD-WHT-SFFRN QRTZ,THREE QUARTER HIGH,NIKE KIDS,GS3,3,18,30.95,557.1
GD,GIRLS,AQ4224-403,TEAM HUSTLE D 9 GS,MID NVY/UNV RD-WHT-SFFRN QRTZ,THREE QUARTER HIGH,NIKE KIDS,GS9,1,6,30.95,185.7
GD,BOYS,AQ4225-403,TEAM HUSTLE D 9 PS,MID NVY/UNV RD-WHT-SFFRN QRTZ,THREE QUARTER HIGH,NIKE KIDS,PE2,2,12,29.95,359.4
GD,BOYS,AQ4225-403,TEAM HUSTLE D 9 PS,MID NVY/UNV RD-WHT-SFFRN QRTZ,THREE QUARTER HIGH,NIKE KIDS,PE1,2,12,29.95,359.4
GD,BOYS,AR7419-002,NIKE AIR MAX OKETO BG,BLACK/WHITE,LOW TOP,NIKE KIDS,GS3,6,36,32.95,1186.2
GD,BOYS,AR7419-002,NIKE AIR MAX OKETO BG,BLACK/WHITE,LOW TOP,NIKE KIDS,GS9,3,18,32.95,593.1
GD,BOYS,AR7420-002,NIKE AIR MAX OKETO BPV,BLACK/WHITE,LOW TOP,NIKE KIDS,PE2,5,30,30.95,928.5
GD,BOYS,AR7420-002,NIKE AIR MAX OKETO BPV,BLACK/WHITE,LOW TOP,NIKE KIDS,PE1,5,30,30.95,928.5
GD,BOYS,AR7421-002,NIKE AIR MAX OKETO BTV,BLACK/WHITE,LOW TOP,NIKE KIDS,I1,5,30,24.95,748.5
GD,BOYS,AR7421-002,NIKE AIR MAX OKETO BTV,BLACK/WHITE,LOW TOP,NIKE KIDS,I2,5,30,24.95,748.5
GD,MEN,AT1368-012,NIKE LEGEND REACT 2,BLACK/WHITE-VOLT,LOW TOP,RUNNING,M7,3,18,52.95,953.1
GD,MEN,AT1368-012,NIKE LEGEND REACT 2,BLACK/WHITE-VOLT,LOW TOP,RUNNING,M2,3,18,52.95,953.1
GD,BOYS,AT1801-001,NIKE STAR RUNNER 2 PSV,BLACK/WHITE-BLACK-VOLT,LOW TOP,NIKE KIDS,PE1,10,60,25.95,1557
GD,BOYS,AT1801-001,NIKE STAR RUNNER 2 PSV,BLACK/WHITE-BLACK-VOLT,LOW TOP,NIKE KIDS,PE2,10,60,25.95,1557
GD,MEN,AT5269-010,VAPOR 13 ACADEMY FG/MG,BLACK/BLACK,LOW TOP,FOOTBALL/SOCCER,M6,2,12,45.95,551.4
GD,MEN,AT5269-010,VAPOR 13 ACADEMY FG/MG,BLACK/BLACK,LOW TOP,FOOTBALL/SOCCER,M2,2,12,45.95,551.4
GD,MEN,AT5269-606,VAPOR 13 ACADEMY FG/MG,LASER CRIMSON/BLACK-LSR CRMSN,LOW TOP,FOOTBALL/SOCCER,M2,1,6,45.95,275.7
GD,MEN,AT5269-606,VAPOR 13 ACADEMY FG/MG,LASER CRIMSON/BLACK-LSR CRMSN,LOW TOP,FOOTBALL/SOCCER,M7,1,6,45.95,275.7
GD,MEN,AT7996-010,VAPOR 13 ACADEMY TF,BLACK/BLACK,LOW TOP,FOOTBALL/SOCCER,M7,4,24,45.95,1102.8
GD,MEN,AT7996-010,VAPOR 13 ACADEMY TF,BLACK/BLACK,LOW TOP,FOOTBALL/SOCCER,M2,4,24,45.95,1102.8
GD,MEN,AT7999-606,VAPOR 13 CLUB TF,LASER CRIMSON/BLACK-LSR CRMSN,LOW TOP,FOOTBALL/SOCCER,M2,4,24,29.95,718.8
GD,MEN,AT7999-606,VAPOR 13 CLUB TF,LASER CRIMSON/BLACK-LSR CRMSN,LOW TOP,FOOTBALL/SOCCER,M7,4,24,29.95,718.8
GD,BOYS,AT8177-606,JR VAPOR 13 CLUB TF,LASER CRIMSON/BLACK-LSR CRMSN,LOW TOP,FOOTBALL/SOCCER,GS3,6,36,22.95,826.2
GD,BOYS,AT8178-606,JR VAPOR 13 CLUB TF PS (V),LASER CRIMSON/BLACK-LSR CRMSN,LOW TOP,FOOTBALL/SOCCER,PE2,6,36,22.95,826.2
GD,MEN,BQ3204-002,NIKE REVOLUTION 5,BLACK/WHITE-ANTHRACITE,LOW TOP,RUNNING,M2,10,60,33.95,2037
GD,MEN,BQ3204-002,NIKE REVOLUTION 5,BLACK/WHITE-ANTHRACITE,LOW TOP,RUNNING,M7,10,60,33.95,2037
GD,MEN,BQ3204-010,NIKE REVOLUTION 5,BLACK/GREY FOG-VOLT-WHITE,LOW TOP,RUNNING,M7,5,30,33.95,1018.5
GD,MEN,BQ3204-010,NIKE REVOLUTION 5,BLACK/GREY FOG-VOLT-WHITE,LOW TOP,RUNNING,M2,5,30,33.95,1018.5
GD,MEN,BQ3204-400,NIKE REVOLUTION 5,MIDNIGHT NAVY/WHITE-DK OBSDN,LOW TOP,RUNNING,M2,5,30,33.95,1018.5
GD,MEN,BQ3204-400,NIKE REVOLUTION 5,MIDNIGHT NAVY/WHITE-DK OBSDN,LOW TOP,RUNNING,M7,5,30,33.95,1018.5
GD,WOMEN,BQ3207-002,WMNS NIKE REVOLUTION 5,BLACK/WHITE-ANTHRACITE,LOW TOP,RUNNING,W2,5,30,33.95,1018.5
GD,WOMEN,BQ3207-002,WMNS NIKE REVOLUTION 5,BLACK/WHITE-ANTHRACITE,LOW TOP,RUNNING,W4,4,24,33.95,814.8
GD,WOMEN,BQ3207-002,WMNS NIKE REVOLUTION 5,BLACK/WHITE-ANTHRACITE,LOW TOP,RUNNING,W1,5,30,33.95,1018.5
GD,WOMEN,BQ3207-600,WMNS NIKE REVOLUTION 5,BRLY RS/MTLC RD BRNZ-STN MV-BL,LOW TOP,RUNNING,W4,3,18,33.95,611.1
GD,WOMEN,BQ3207-600,WMNS NIKE REVOLUTION 5,BRLY RS/MTLC RD BRNZ-STN MV-BL,LOW TOP,RUNNING,W1,3,18,33.95,611.1
GD,WOMEN,BQ3207-600,WMNS NIKE REVOLUTION 5,BRLY RS/MTLC RD BRNZ-STN MV-BL,LOW TOP,RUNNING,W2,4,24,33.95,814.8
GD,MEN,BQ4639-001,NIKE OFFCOURT SLIDE,DK GREY/BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,S1,10,60,19.95,1197
GD,MEN,BQ4639-001,NIKE OFFCOURT SLIDE,DK GREY/BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,S3,10,60,19.95,1197
GD,GIRLS,BQ5671-003,NIKE REVOLUTION 5 GS,BLACK/WHITE-ANTHRACITE,LOW TOP,NIKE KIDS,GS9,7,42,29.95,1257.9
GD,GIRLS,BQ5671-003,NIKE REVOLUTION 5 GS,BLACK/WHITE-ANTHRACITE,LOW TOP,NIKE KIDS,GS3,14,84,29.95,2515.8
BT,BOYS,BQ5776-001,AIR MAX 270 BG,BLACK/BLACK,LOW TOP,NIKE KIDS,GS2,5,30,65.95,1978.5
GD,MEN,BV7427-006,LEBRON WITNESS IV,BLACK/GYM RED-UNIV RED,THREE QUARTER HIGH,BASKETBALL,M7,1,6,52.95,317.7
GD,MEN,BV7427-006,LEBRON WITNESS IV,BLACK/GYM RED-UNIV RED,THREE QUARTER HIGH,BASKETBALL,M2,1,6,52.95,317.7
GD,MEN,BV7427-006,LEBRON WITNESS IV,BLACK/GYM RED-UNIV RED,THREE QUARTER HIGH,BASKETBALL,M6,1,6,52.95,317.7
GD,MEN,CD0200-002,NIKE RENEW FUSION,BLACK/WHITE-DK SMOKE GREY,LOW TOP,ATHLETIC TRAINING,M2,3,18,48.95,881.1
GD,MEN,CD0200-002,NIKE RENEW FUSION,BLACK/WHITE-DK SMOKE GREY,LOW TOP,ATHLETIC TRAINING,M7,3,18,48.95,881.1
GD,WOMEN,CD0303-001,WMNS NIKE REVOLUTION 5 SE,BLK/MTLC DK GRY-PLM DST-RYL PL,LOW TOP,RUNNING,W2,4,24,35.95,862.8
GD,WOMEN,CD0303-001,WMNS NIKE REVOLUTION 5 SE,BLK/MTLC DK GRY-PLM DST-RYL PL,LOW TOP,RUNNING,W4,3,18,35.95,647.1
GD,WOMEN,CD0303-001,WMNS NIKE REVOLUTION 5 SE,BLK/MTLC DK GRY-PLM DST-RYL PL,LOW TOP,RUNNING,W1,3,18,35.95,647.1
GD,MEN,CD4165-005,NIKE AIR MAX EXCEE,BLACK/WHITE-UNIV RED,LOW TOP,NIKE SPORTSWEAR,M2,1,6,49.95,299.7
GD,MEN,CD4165-005,NIKE AIR MAX EXCEE,BLACK/WHITE-UNIV RED,LOW TOP,NIKE SPORTSWEAR,M7,1,6,49.95,299.7
GD,MEN,CD4165-104,NIKE AIR MAX EXCEE,WHITE/BLACK-ORCL AQUA-GHST GRN,LOW TOP,NIKE SPORTSWEAR,M2,1,6,49.95,299.7
GD,MEN,CD4165-104,NIKE AIR MAX EXCEE,WHITE/BLACK-ORCL AQUA-GHST GRN,LOW TOP,NIKE SPORTSWEAR,M7,1,6,49.95,299.7
GD,WOMEN,CD5403-602,WMNS NIKE AMIXA,WSHD CORAL/PL IVRY-BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,W5,4,24,39.95,958.8
GD,WOMEN,CD5403-602,WMNS NIKE AMIXA,WSHD CORAL/PL IVRY-BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,W13,3,18,39.95,719.1
GD,WOMEN,CD5403-602,WMNS NIKE AMIXA,WSHD CORAL/PL IVRY-BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,W2,5,30,39.95,1198.5
GD,WOMEN,CD5432-600,WMNS NIKE AIR MAX EXCEE,WASHED CORAL/BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,W13,2,12,49.95,599.4
GD,WOMEN,CD5432-600,WMNS NIKE AIR MAX EXCEE,WASHED CORAL/BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,W2,2,12,49.95,599.4
GD,WOMEN,CD5432-600,WMNS NIKE AIR MAX EXCEE,WASHED CORAL/BLACK-WHITE,LOW TOP,NIKE SPORTSWEAR,W5,2,12,49.95,599.4
GD,MEN,CI1396-005,NIKE AIR MAX IMPACT,BLACK/MTLC GOLD-DK SMOKE GREY,THREE QUARTER HIGH,BASKETBALL,M5,1,6,49.95,299.7
GD,MEN,CI1396-005,NIKE AIR MAX IMPACT,BLACK/MTLC GOLD-DK SMOKE GREY,THREE QUARTER HIGH,BASKETBALL,M8,1,6,49.95,299.7
GD,MEN,CI1396-005,NIKE AIR MAX IMPACT,BLACK/MTLC GOLD-DK SMOKE GREY,THREE QUARTER HIGH,BASKETBALL,M9,1,6,49.95,299.7
GD,WOMEN,CI9984-200,WMNS NIKE DOWNSHIFTER 10,STN MV/MTLC RD BRNZ-SMKY MV-BR,LOW TOP,RUNNING,W2,8,48,35.95,1725.6
GD,WOMEN,CI9984-200,WMNS NIKE DOWNSHIFTER 10,STN MV/MTLC RD BRNZ-SMKY MV-BR,LOW TOP,RUNNING,W4,6,36,35.95,1294.2
