Alterno;Nombre;P Normal;Marca;Categoria;Unidades Vendidas;Valor Total;Valor Promedio;fecha de compra;Precio 2;Pagar
MCF TIMEOUT;Membresia Cliente Frecuente TIME OUT;65.00;MEMBRESIA TIME OUT;SIN SECCION;718;44,460.00;61.92;0/1/1900;L0.00;
VN000D3HY28;TENIS VANS OLD SKOOL BLK/WHT VN000D3HY28 # 4;2,390.00;VANS;ZAPATO;89;191,817.51;2,155.25;10/5/2019;L2,190.00;COBRAR
MCF TIMBERLAND;Membresia Cliente Frecuente TIMBERLAND;65.00;MEMBRESIA TIMBERLAND;SIN SECCION;42;2,600.00;61.90;0/1/1900;L0.00;
PC009;T. AIR RAIDER BOOT & SHOE REFRESHER PC009;390.00;TIMBERLAND;ACCESORIOS;37;9,604.50;259.58;31/5/2018;L350.00;
BK-202-B;PVC SKIP ROPE 9´ BK-202-B ;150.00;BODY SCULPTURE;ACCESORIOS;36;4,759.00;132.19;1/10/2018;L100.00;
A1DDG;LIMPIADOR T BOOTSAUCE:CONDITNER A1DDG;390.00;TIMBERLAND;ACCESORIOS;32;11,415.53;356.74;30/10/2018;L350.00;
AO0352-400;T.N. AIR MAX MOTION 2 BLUE/PLUM AO0352-400 # 5;2,990.00;NIKE;ZAPATO;31;81,976.50;2,644.40;16/4/2019;L2,790.00;COBRAR
343881-615;S. BENASSI JDI TRUE BERRY 343881-615 # 7;990.00;NIKE;SANDALIAS;29;26,021.50;897.29;16/4/2019;L950.00;COBRAR
AJ5908-013;T.N. FLEX EXPERIENCE 8 BLK/WHT AJ5908-013 # 5.5;2,390.00;NIKE;ZAPATO;29;62,509.00;2,155.48;15/4/2019;L2,190.00;COBRAR
360248 03;SANDALIA BLACK WHITE 360248 03 # 7;650.00;PUMA;SANDALIAS;28;15,887.00;567.39;30/1/2019;L590.00;
916792 601;T.N WMNB CK RACER PURPLE 916792 601 # 5;1,790.00;NIKE;ZAPATO;28;44,779.53;1,599.27;22/2/2019;L1,590.00;
